,Title,Hymn
274,<title>WO t' o nbebe f' ota Re - Yoruba Baptist Hymns</title>,"<p>1. WO t’ o nbebe f’ ota Re,<br/>
L’ or’ igi agbelebu;<br/>
Wipe “Fiji won Baba”,<br/>
Jesu sanu fun wa.</p> <p>2. Jesu jo bebe fun wa,<br/>
Fun ese wa gbagbogbo;<br/>
A ko mo ohun t a nse<br/>
Jesu sanu fun wa.</p> <p>3. Je k’ awa ti nwa anu,<br/>
Dabi Re l’ okan n’ iwa,<br/>
‘Gba t’ a ba se wa n’ ibi:<br/>
Jesu sanu fun wa.</p> <p>4. Jesu ‘Wo t’ o gbo aro<br/>
Ole t’ o ku l’ egbe Re,<br/>
T’ O si mu d’ orun rere:<br/>
Jesu sanu fun wa.</p> <p>5. Ninu ebi ese wa,<br/>
Je k’ a toro anu Re,<br/>
K’ a ma pe oruko Re,<br/>
Jesu sanu fun wa.</p> <p>6. Ranti awa ti nrahun<br/>
T’ a now agbelebu Re;<br/>
F’ ireti mimo fun wa<br/>
Jesu sanu fun wa.</p> <p>7. ‘Wo t’ o fe l’afe dopin<br/>
Iya Re t’ o nkanu Re,<br/>
Ati ore Re owon:<br/>
Jesu sanu fun wa.</p> <p>8. Je k’ a pin ‘nu iya Re,<br/>
K’ a ma ko iku fun O,<br/>
Je k’ a ri ‘toju Re gba;<br/>
Jesu sanu fun wa.</p> <p>9. Ki gbogbo awa tire,<br/>
Je omo ile kanna,<br/>
“Tori Re k’a fe ‘ra wa:<br/>
Jesu sanu fun wa.</p> <p>10. Jesu ‘Wo ti eru nba,<br/>
‘Gbat’ osi ‘Wo nikan,<br/>
Ti okunkun su bo O:<br/>
Jesu sanu fun wa.</p> <p>11. ‘Gbati a ba npe lasan,<br/>
T’ ireti wa si jina;<br/>
N’nu okun na di wa mu<br/>
Jesu sanu fun wa.</p> <p>12. B’ o dabi Baba ko gbo,<br/>
B’ o dabi ‘mole ko si,<br/>
Je ka fi ‘gbagbo ri O,<br/>
Jesu sanu fun wa.</p> <p>13. Jesu ninu ongbe Re,<br/>
Ni ori agbelebu,<br/>
‘Wo ti o few a sibe;<br/>
Jesu sanu fun wa.</p> <p>14. Ma kongbe ife Re<br/>
Sise mimo lara wa,<br/>
Te ife Re na l’ orun<br/>
Jesu sanu fun wa.</p> <p>15. Je k’ a kongbe ife Re<br/>
Ma samona wa titi,<br/>
Sibi omi iye ni;<br/>
Jesu sanu fun wa.</p> <p>16. Jesu Olurapada,<br/>
‘Wo t’ o se ‘fe Baba Re,<br/>
T’o si jiya ‘tori wa;<br/>
Jesu sanu fun wa.</p> <p>17. Gba wa l’ ojo idamu,<br/>
Se oluranlowo wa,<br/>
Lati ma t’ ona mimo;<br/>
Jesu sanu fun wa.</p> <p>18. F’ imole Re s’ ona wa,<br/>
Ti v’ o ma tan titi lai,<br/>
Tit’ ao fi de odo Re:<br/>
Jesu sanu fun wa.</p> <p>19. Jesu gbogbo ise Re,<br/>
Gbogbo Damu Re pin,<br/>
O Jowo emi Re lowo;<br/>
Jesu sanu fun wa.</p> <p>20. ‘Gbat’ iku ba de ba wa,<br/>
Gba wa lowo ota wa;<br/>
Yo wa ni wakati na,<br/>
Jesu sanu fun wa.</p> <p>21. Ki iku at’ iye Re,<br/>
Mu ore ofe ba wa,<br/>
Ti yio, mu wa d’oke:<br/>
Jesu sanu fun wa.</p> "
275,<title>MO yo pipo pe Baba wa orun - Yoruba Baptist Hymns</title>,"<p>1. MO yo pipo pe Baba wa orun<br/>
So t’ife Re ninu ‘we t’o fun mi,<br/>
Mo r’ ohun ‘yanu ninu Bibeli,<br/>
Eyi sowon ju pe Jesu fe mi,</p> <p style=""padding-left: 40px;"">Refrain<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe mi, Jesu fe mi,<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe an’ emi.</p> <p>2. Gba mo gbagbe Re, tie mi sa-lo<br/>
O fe mi sibe, O wa mi kiri,<br/>
Mo yara pada s’ apa anu Re,<br/>
‘Gbati mo ranti pe Jesu fe mi.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe mi, Jesu fe mi,<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe an’ emi.</p> <p>3. Bi o se orin kan l’ emi le o,<br/>
‘Gba mo r’ oba nla ninu ewa Re,<br/>
Eyi yio ma j’orin mi titii,<br/>
A! iyanu nip e Jesu fe mi.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe mi, Jesu fe mi,<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe an’ emi.</p> <p>4. Jesu fe mi mo si mo pe mo fe E,<br/>
Ife l’o mu wa r’ okan mi pada,<br/>
Ife lo m’ U ko ku l’ ori igi,<br/>
O da mi loju pe Jesu fe mi.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe mi, Jesu fe mi,<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe an’ emi.</p> <p>5. Emi o ti se dahun b’ a bi mi<br/>
Ohun ti Ogo Oluwa mi je?<br/>
Emi Mimo njeri nin’ okan mi,<br/>
Ni igbagbpgbo pe Jesu fe mi.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe mi, Jesu fe mi,<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe an’ emi.</p> <p>6. Ni gbekele yi mo r’ isimi,<br/>
Ni gbekele Krist, mo d’ alabukun,<br/>
Satan damu sa kuro l’ okan mi,<br/>
Nigba mo so fun pe Jesu fe mi.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe mi, Jesu fe mi,<br/>
Mo yo pipo pe Jesu fe mi,<br/>
Jesu fe an’ emi.</p> "
276,<title>GBO-GB' ogo iyin ola - Yoruba Baptist Hymns</title>,"<p>1. GBO-GB’ ogo iyin ola,<br/>
Fun O oludande,<br/>
S’ Eni t’ awon omode<br/>
Ko Hosanna didun!<br/>
‘Wo l’ Oba Israeli,<br/>
Om’ Alade Dafidi,<br/>
T’ O wa l’ Oko Oluwa,<br/>
Oba olubukun.<br/>
Gbogb’ ogo iyin ola<br/>
Fun O, Oludande,<br/>
S’ Eni t’ awon omode<br/>
Ko Hosanna didun!</p> <p>2. Egbe awon maleka,<br/>
Nyin O l’ oke giga;<br/>
Awa at’ eda gbogbo<br/>
Si dapo gberin na.</p> <p>3. Awon Hebru lo, saju,<br/>
Pelu imo ope,<br/>
Iyin, adura, at’ orin,<br/>
L’ a mu wa ‘waju Re.</p> <p>4. Si O saju iya Re,<br/>
Nwon korin iyin won;<br/>
‘Wo t’a gbega nisiyi,<br/>
L’ a nkorin iyin si.</p> <p>5. ‘Wo gba orin iyin won:<br/>
Gb’ adura t’a mu wa,<br/>
‘Wo ti nyo s’ ohun rere,<br/>
Oba wa Olore.</p> "
277,<title>WA 'do Jesu! - Yoruba Baptist Hymns</title>,"<p>1. WA ‘do Jesu!<br/>
Wa ‘do Jesu!<br/>
Wa ‘do Jesu nisin!<br/>
Nisin wa’ do Jesu!<br/>
Wa ‘do Jesu nisin!</p> <p>2. Yio gba o la! Etc</p> <p>3. Sa gba A gbo! Etc</p> <p>4. O le gba o! Etc.</p> <p>5. O fe gba o! Etc.</p> <p>6. On yio gba o! Etc</p> <p>7. Sa to Jesu! Etc</p> <p>8. Ke pe Jesu! Etc</p> <p>9. Jesu gba mi! Etc</p> <p>10. Yio gbo tire! Etc.</p> <p>11. Yio dari jin! Etc.</p> <p>12. Yio we o mo! Etc</p> <p>13. Yio tun o se! Etc</p> <p>14. Jesu fe o! Etc</p> <p>15. Mase ko O! Etc</p> <p>16. Sa gbekele E! Etc</p> <p>17. “Wo o yin logo! Etc</p> "
278,<title>AGBELEBU ni ere mi - Yoruba Baptist Hymns</title>,"<p>1. AGBELEBU ni ere mi,<br/>
Nibe ni a rubo fun mi;<br/>
Nibe l’ a kan Oluwa mo<br/>
Nibe l’ Olugbala mi ku.</p> <p>2. Kini o le fa okan Re<br/>
Lati te ‘ri gba iya mi?<br/>
Aim ohun na daju l’ o se<br/>
T’ okan mi tutu be si O.</p> <p>3. Aifohun na ti mi<br/>
Niwaju Jesu mimo mi,<br/>
T’ O ta ‘je Re sile fun mi,<br/>
‘Tori o fe mi l’ afeju.</p> "
279,<title>JESU np' enia Re - Yoruba Baptist Hymns</title>,"<p>1. JESU np’ enia Re<br/>
S’ ori tabili Re,<br/>
Nibi l’ awon t’ a dariji<br/>
Nb’ Oluwa won dapo.</p> <p>2. Wain at’ akara yi,<br/>
L’ o nm’ okan wa soji,<br/>
N’ idapo pel’ Oluwa wa,<br/>
At’ ere n’nu ‘ku Re.</p> <p>3. K’ a d’ agbara wa po<br/>
Lati yin ‘ruko Re;<br/>
K’ ife mimo kun gbogb’ okan,<br/>
Ki gbogb’ ohun je ‘yin.</p> "
280,<title>OLUGBALA mi ha gb' ogbe - Yoruba Baptist Hymns</title>,"<p>1. OLUGBALA mi ha gb’ ogbe?<br/>
K’ Oba Ogo si ku?<br/>
On ha je f’ ara Re rubo<br/>
F’ eni ile b’ emi?</p> <p>2. Iha se ese ti mo da<br/>
L’ o gbe ko sor’ igi?<br/>
Anu at’ ore yi ma po,<br/>
Ife yi rekoja!</p> <p>3. O ye k’ orun f’ oju pamo,<br/>
K’ o b’ ogo re mole;<br/>
Gbati Kristi Eleda ku,<br/>
Fun ese eda Re.</p> <p>4. Be l’ o ye k’ oju ba ti mi<br/>
‘Gba mo r’ agbelebu;<br/>
O ye k’ okan mi kun f’ ope,<br/>
O ju mi f’ omije.</p> <p>5. Sugbon omije ko le san<br/>
‘Gbese ‘fe ti mo je;<br/>
Mo f’ ara mi f’ Oluwa mi<br/>
Eyi lo ye kin se.</p> "
281,<title>IFE orun! alailegbe - Yoruba Baptist Hymns</title>,"<p>1. IFE orun! alailegbe!<br/>
N’nu ase mimo yi,<br/>
Ogo re kun, ‘mole re po,<br/>
Ti ntan iye jade.</p> <p>2. Iku on eje ‘yebiye,<br/>
T’ a ta sile fun wa<br/>
Fun ‘wenum’ okan ese wa<br/>
Ninu eb gbogbo.</p> <p>3. Majemu ‘ye, t’ alaifia<br/>
T’ a fi eje pari!<br/>
Nihin l’ a fi gbogbo ebun<br/>
Or’ ofe han ‘gbagbo.</p> <p>4. Jesu, a teriba fun O,<br/>
‘Reti at’ Iye wa,<br/>
A si nf’ ope on ‘banuje<br/>
Ro t’ iku ife Re.</p> <p>5. A! t’ a ba ko fe Re pipe<br/>
Si aiya gbogbo wa;<br/>
K’ aiye at’ ese male bo<br/>
Agbara ogo re.</p> "
282,<title>EGB' ohun ife at' anu - Yoruba Baptist Hymns</title>,"<p>1. EGB’ ohun ife at’ anu,<br/>
Ti ndun l’ oke Kalfari!<br/>
Wo! O san awon apata!<br/>
O mi ‘le, o m’ orun su!<br/>
“O ti pari!”<br/>
Gbo b’ Olugbala ti ke.</p> <p>2. O ti pari!” B’ o ti dun to,<br/>
Ohun t’ oro wonyi wi,<br/>
Ibukun orun l’ ainiye<br/>
T’ odo Kristi san si wa.<br/>
“O ti pari!”<br/>
E ranti oro wonyi.</p> <p>3. Ise igbala wa pari,<br/>
Jesu ti mu ofin se;<br/>
O pari nkan t’ Olorun wi,<br/>
Awa ki y’o ka ‘ku si.<br/>
“O ti pari!”<br/>
Elese, ipe l’ eyi</p> <p>4. E tun harpu nyin se, Seraf’,<br/>
Lati korin ogo Re;,<br/>
Ar’ aiye at’ ara orun,<br/>
Yin ‘ruko Emmanuel.’<br/>
“O ti pari!”<br/>
Ogo fun Od’ agutan.</p> "
283,<title>JESU t' asia Re bow a - Yoruba Baptist Hymns</title>,"<p>1. JESU t’ asia Re bow a,<br/>
O f’ onje m’ okan way o;<br/>
O te ase siwaju wa,<br/>
T’ a f’ eran ara Re se.</p> <p>2. Nihin l’ a r’ ifiji ese,<br/>
B’ a ti now Od’-agutan;<br/>
Gbogb’ ero wa si je t’ orun,<br/>
Ete wa si kun fun ‘yin.</p> <p>3. Ninu aisimi ironu,<br/>
Sibe okan wa now O,<br/>
Tit’ ao fi r’ ekun ‘gbala Re,<br/>
T’ ao si fi ri ogo Re.</p> "
284,"<title>A RA, e wa ba mi s' ofo - Yoruba Baptist Hymns</title>","<p>1. A RA, e wa ba mi s’ ofo,<br/>
E wa sodo Olugbala;<br/>
Wa, e je k’ a jumo s’ ofo;<br/>
A kan Jesu m’ agbelebu.</p> <p>2. ko ha s’ omije loju wa<br/>
bi awon Ju ti nfi sefe?<br/>
A! E wo, b’ O ti teriba;<br/>
A kan Jesu m’ agbelebu.</p> <p>3. Emeje l’ o soro ife;<br/>
Idake wakati meta<br/>
L’ O fi ntoro anu f’ anu;<br/>
A kan Jesu m’ agbelebu.</p> <p>4. Bu s’ ekun, okan lile mi!<br/>
Ese at’ igberaga re<br/>
L’ o da Oluwa re l’ ebi;<br/>
A kan Jesu m’ agbelebu.</p> <p>5. Wa duro ti agbelebu,<br/>
K’ eje tin jade n’ iha Re<br/>
Ba le ma san le o lori;<br/>
A kan Jesu m’ agbelebu.</p> <p>6. Ibanuje at’ omije,<br/>
Bere, a ki o fi du o;<br/>
‘Banuje l’ o f’ ife re han<br/>
A kan Jesu m’ agbelebu.</p> <p>7. Ife Baba, ese eda,<br/>
Nihin l’ a ri agbara re;<br/>
Ife l’ o si di Asegun;<br/>
A kan Olufe wa mo ‘gi</p> "
285,"<title>GBATI mo ri agbelebu, - Yoruba Baptist Hymns</title>","<p>1. GBATI mo ri agbelebu,<br/>
Ti a kan Oba-ogo mo,<br/>
Mo ka gbogbo oro s’ ofo,<br/>
Mo kegan gbogbo ogo mi.</p> <p>2. K’ a ma se gbo pe mo nhale,<br/>
B’ o ye n’ iku Oluwa mi,<br/>
Gbogbo nkan asan ti mo fe,<br/>
Mo da sile fun eje Re.</p> <p>3. Wo lat’ ori, owo, ese;<br/>
B’ ikanu at’ ife ti nsan;<br/>
‘Banuje at’ ife papo,<br/>
A f’ egun se ade ogo.</p> <p>4. Gbogbo aiye ‘ba je t’ emi,<br/>
Ebun abere ni fun mi;<br/>
Ife nla ti nyanilenu,<br/>
Gba gbogbo okan, emi mi.</p> "
286,<title>MO f' ara Mi fun o - Yoruba Baptist Hymns</title>,"<p>1. MO f’ ara Mi fun o,<br/>
Mo ku nitori re,<br/>
Ki nle ra o pada,<br/>
K’ o le jinde n’nu ‘ oku;<br/>
Mo f’ ara Mi fun o,<br/>
Kin’ iwo se fun Mi?</p> <p>2. Mo f’ ojo aiye Mi<br/>
Se ‘se lala fun o;<br/>
Ki iwo ba le mo<br/>
Adun aiyeraiye<br/>
Mo se lala fun o<br/>
Kin ‘ iwo se fun Mi?</p> <p>3. Ile ti Baba Mi,<br/>
At’ ite ogo Mi,<br/>
Mo fi sile w’ aiye,<br/>
Mo d’ alarinkiri,<br/>
Mo fi ‘le tori re<br/>
Kil’ o fi ‘le fun Mi?</p> <p>4. Mo jiya po fun o,<br/>
Ti enu ko le so<br/>
Mo j’ ijakadi nla,<br/>
‘Tori igbala re;<br/>
Mo jiya po fun o,<br/>
O le jiya fun Mi?</p> <p>5. Mo mu igbala nla,<br/>
Lat’ ile Baba Mi<br/>
Wa, lati fifun o,<br/>
Mo si dariji o:<br/>
Mo m’ ebun wa fun o,<br/>
Kil’ o mu wa fun Mi?</p> <p>6. Fi ara re fun Mi,<br/>
Fi aiye re sin Mi,<br/>
Di ‘ju si kan t’ aiye,<br/>
Si wo ohun t’ orun,<br/>
Mo f’ ara Mi fun o,<br/>
Si f’ ara re funMi.</p> "
287,<title>OKAN mi pe ninu Jesu - Yoruba Baptist Hymns</title>,"<p>1. OKAN mi pe ninu Jesu:<br/>
Ko beru ise ofin mo;<br/>
Erin Olorun dun ninu,<br/>
Nibit’ o ti kun f’ ese ri.</p> <p>2. Okan mi ye ninu Jesu;<br/>
O gb’ alafia ‘dariji Re;<br/>
Ogb’ ore-ofe iku Re,<br/>
O si nfi ijiya Re be.</p> <p>3. Okan mi yio korin iyin,<br/>
S’ okan wa t’ O wa titi lai;<br/>
Yio sin n’ irele l’ ese Re,<br/>
‘Tori n’nu Re nikan l’ ope.</p> "
288,<title>ENYIN ti nkoja - Yoruba Baptist Hymns</title>,"<p>1. ENYIN ti nkoja<br/>
Ya sodo Jesu:<br/>
O s’ asan fun nyin bi, bi Jesu ba ku?</p> <p>2. Alafia wa<br/>
Onigbowo wa:<br/>
Wa, wo b’ ibanuje kan ri bayi ri.</p> <p>3. Oluwa n’jo na,<br/>
N’ ibinu Re gbe<br/>
Ese wa l’ Od’ -agutan, O ko won lo.</p> <p>4. O ku, k’ O s’ etu<br/>
Nitor’ ese wa:<br/>
Baba se Omo Re n’ ise tori wa.</p> <p>5. K’ a gb’ ore-ofe<br/>
Irapada mu:<br/>
Fun Enit’ o jiya t’ O ku n’ ipo wa.</p> <p>6. Nigb’ aiye ba pin<br/>
Awa o ma bo<br/>
Ife totobi na, ti ki tan lailai.</p> "
289,<title>GBOGBO eje eran - Yoruba Baptist Hymns</title>,"<p>1. GBOGBO eje eran,<br/>
Ti pepe awon ju,<br/>
Ko le f’ okan l’ Alafia,<br/>
Ko le we eri nu.</p> <p>2. Kristi Od’-agutan,<br/>
M’ ese wa gbogbo lo;<br/>
Ebo t’ o ni oruko nla,<br/>
T’ o ju eje won lo.</p> <p>3. Mo f’ igbagbo gb’ owo<br/>
Le ori Re owon,<br/>
B’ eniti o ronupiwada,<br/>
Mo jewo ese mi.</p> <p>4. Okan mi pada wo<br/>
Eru ti O ti ru;<br/>
Nigbati a kan O mo ‘gi,<br/>
Ese re wa nibe.</p> "
290,<title>OPARI! - l' Olugbala ke - Yoruba Baptist Hymns</title>,"<p>1. OPARI! – l’ Olugbala ke,<br/>
O te ori ba, O si ku;<br/>
“O pari!” – ire – ije pin,<br/>
O ti jagun, O si segun.</p> <p>2. “O pari!” – igbe iku yi<br/>
Y’o s’ etutu f’ ese gbogbo,<br/>
Opo y’o si ri igbala<br/>
Nipa emi ‘kehin Jesu.</p> <p>3. “O pari!” – a b’ orun la ‘ja<br/>
A ba ipa okunkun je;<br/>
Alafia, ife at’ ayo<br/>
Pada wa ba elese gbe.</p> <p>4. “O pari!” – k’ iro ayo yi<br/>
Ka gbogbo orile-ede;<br/>
“O pari!” – k’ isegun na nde<br/>
Ko dapo mo orin t’ oke.</p> "
291,"<title>ABBA, Baba,"" a sunmo O - Yoruba Baptist Hymns</title>","<p>1. “ABBA, Baba,” a sunmo O<br/>
L’ oruko Jesu owon;<br/>
Aw’ omo Re t’ o pe nihin,<br/>
Nfe ‘bukun t’ O se ‘leri;<br/>
Eje Re we wa n’n ese wa,<br/>
Nipa Re l’ a sunmo O;<br/>
Emi Re pelu si ko wa<br/>
Lati ke, “Abba, Baba.”</p> <p>2. Lekan bi oninokuno,<br/>
A ti sako lodo Re,<br/>
Sugbon or’ ofe Re t’o po<br/>
Si gba wa lowo ise;<br/>
A ti wow a l’ ewu ‘gbala,<br/>
Tabili Re n’ ipo wa;<br/>
Awa yo, ‘Wo si yo pelu,<br/>
Ninu oro ore Re.</p> "
292,<title>OGABJO gan: l' oke Olif - Yoruba Baptist Hymns</title>,"<p>1. OGABJO gan: l’ oke Olif’<br/>
Awon irawo si ti wo;<br/>
Oganjo gan: nisisyi<br/>
Jesu nikan ngbadura l’ ogba.</p> <p>2. Ogbanjo gan: l’ ais’ enikan,<br/>
Jesu nikan ba eru ja;<br/>
Omo-ehin t’ O fe papa<br/>
Ko nani ibanje Re.</p> <p>3. Oganjo gan: f’ es’ lomi<br/>
En’ ikanu nsokun n’nu ‘ eje ;<br/>
Sibe en ‘t’ o wole l’ anu<br/>
Olorun ko je d’ ehin ko.</p> <p>4. Oganju gan: lati papa<br/>
A nbg’ orun awon Angeli,<br/>
Orin titun t’ a ko gbo ri,<br/>
L’ o tu Olugbala l’ ara.</p> "
293,<title>NIWAJU ite anu Re - Yoruba Baptist Hymns</title>,"<p>1. NIWAJU ite anu Re,<br/>
Jesu, a tun ko ‘ra wa de,<br/>
A wa toro idariji,<br/>
Fun majemu t’ a ti baje.</p> <p>2. A wa se otun ileri,<br/>
Ipa Re l’ o o le di wa mu,<br/>
Lati ma to awon ‘mo wa<br/>
Si inu isin pipe Re.</p> <p>3. Ran wa lowo lati ma wa<br/>
‘Gbala awon ojulumo;<br/>
K’ a le ma hu iwa eto,<br/>
K’ a rin dede l’ oju aiye.</p> <p>4. Jek’ a le se b’ ileri wa,<br/>
Lati ma je olotito;<br/>
K’ a fi ara wa s’ apere<br/>
Ninu iwa at’ ise wa.</p> <p>5. K’ a takete si aheso,<br/>
At’ isoro eni lehin;<br/>
K’ a mase binu rekoja,<br/>
K’ oya w a lati mu ‘ja tan.</p> <p>6. K’ a si ma toju ara wa<br/>
Ninu ife arakunrin;<br/>
Ki a ma se iranlowo<br/>
Ninu aisan at’ iponju.</p> <p>7. Ninu ise rere gbogbo,<br/>
Mu w ape, Olugbala wa;<br/>
Si jek’ a le se ife Re<br/>
B’ awon mimo tin se l’ orun.</p> "
294,"<title>JESU, O ha re 'ra Re le - Yoruba Baptist Hymns</title>","<p>1. JESU, O ha re ‘ra Re le<br/>
Gbat’ O gb’ ara wa wo?<br/>
Lati se awotan aisan,<br/>
Lati l’ arun jade?</p> <p>2. O ha te ‘ti si alagbe,<br/>
O m’ afoju riran?<br/>
Gbo, Omo dafidi, a! gbo,<br/>
Sanu fun mi pelu.</p> <p>3. O ha kanu fun ‘se eda,<br/>
O tun mu ‘lera wa?<br/>
Oluwa jo gb’ okan mi la,<br/>
T’ o nfe anu Re ju.</p> <p>4. O ha y’ Omo-do t’ o mberu<br/>
Gbat’ o nri n’nu igbi?<br/>
Oluwa gb’ okan mi, mo gbe;<br/>
Iwo l’o le gbala.</p> "
295,<title>JESU a de l' ojo oni - Yoruba Baptist Hymns</title>,"<p>1. JESU a de l’ ojo oni<br/>
Lati se ase Re,<br/>
Jo masai wa si arin wa,<br/>
K’ O f’ ola Re ran wa.</p> <p>2. Awa de pelu ese wa,<br/>
Nipa or’-ofe Re,<br/>
Lati je ninu ara Re.<br/>
Mu ninu eje Re.</p> <p>3. Ese wa papoju, Jesu,<br/>
Ojojumo l’ a nda,<br/>
Sibe ma jek’ eru ba wa<br/>
Lati ba O jeun.</p> <p>4. Jek’ a sunmo O bi omo,<br/>
K’ a toro ‘dariji,<br/>
K’ a mo pe Baba ki yio je<br/>
Ki omo Re segbe.</p> <p>5. Bi ao ti je akara na,<br/>
Eun wa ni igbagbo;<br/>
Si jek’ a fi adura mu<br/>
N’nu ago eje Re.</p> <p>6. K’ a to kuro niwaju Re,<br/>
Fun wa n’ inu didun,<br/>
K’ a mo p’ a ti ba O pade,<br/>
Pe a ti ba O je.</p> "
296,"<title>N'NU 'se, n'nu 'ja, Oluwa mi - Yoruba Baptist Hymns</title>","<p>1. N’NU ‘se, n’nu ‘ja, Oluwa mi,<br/>
Ngo rin li ona Re;<br/>
B’ Iwo ti se l’ emi o se,<br/>
Nipa iranwo Re.</p> <p>2. Pelu ‘tara, ayo l’o fi<br/>
Se ife Baba Re;<br/>
Itara na ‘ ba le mu mi<br/>
Lati m’ ofin Re se.</p> <p>3. Iwa pele, oto, ife<br/>
Nhan n’ iwa Re gbogbo;<br/>
A! gbogbo ‘se mi, Oluwa<br/>
‘Ba je le je Tire.</p> "
297,<title>O FUN mi l' edidi - Yoruba Baptist Hymns</title>,"<p>1. O FUN mi l’ edidi,<br/>
‘Gbese nla ti mo je;<br/>
B’ O ti fun mi, O si rerin<br/>
Pe, “Mase gbegbe Mi!”</p> <p>2. O fun mi l’ edidi,<br/>
O san igbese na,<br/>
B’ o ti fun mi, O si rerin<br/>
Wipe, “Ma ran ti Mi!”</p> <p>3. Ngo p’ edidi na mo,<br/>
B’ igbese tile tan,<br/>
O nso ife Enit’ o san<br/>
Igbese na fun mi.</p> <p>4. Mo wo, mo si rerin,<br/>
Mo tun wo, mo sokun;<br/>
Eri ife Re si mi ni,<br/>
Ngo toju re titi.</p> <p>5. Ki tun s’ edidi mo,<br/>
Sugbon iranti ni!<br/>
Pe gbogbo igbese mi ni<br/>
Emmanueli san.</p> "
298,<title>A NT' ona t' Oluwa war in - Yoruba Baptist Hymns</title>,"<p>1. A NT’ ona t’ Oluwa war in:<br/>
A ngb’ agbelebu Re;<br/>
Gbogb’ egun t’o ngun wa l’ese<br/>
Ti gun l’ori saju.</p> <p>2. Opo ‘gba l’ oju wa l’ ayo,<br/>
L’ o kun fun omije;<br/>
Orun nikan n’ ireti wa,<br/>
Ese si l’ eru wa.</p> <p>3. A ngbon ‘darop ara wa nu,<br/>
A nmo si b’ a tin lo<br/>
B’ a ti nku s’ aiye on ese,<br/>
Be l’ orun wa nbere.</p> "
299,<title>KIL' o le w' ese mi nu - Yoruba Baptist Hymns</title>,"<p>1. KIL’ o le w’ ese mi nu?<br/>
Ko si, lehin eje Jesu;<br/>
Kil’ o tun le wo mi san?<br/>
Ko si, lehin eje Jesu.<br/>
A! eje ‘yebiye,<br/>
T’ o mu mi fun bi sno,<br/>
Ko s’ isun miran mo,<br/>
Ko si lehin eje Jesu.</p> <p>2. Fun ‘wenumo mi, nko ri,<br/>
Nkan mi, lehin eje Jesu;<br/>
Ohun ti mo gbekele<br/>
Fun ‘dariji, l’ eje Jesu.</p> <p>3. Etutu f’ ese ko si,<br/>
Ko si lehin eje Jesu;<br/>
Ise rere kan ko si,<br/>
Ko si, lehin eje Jesu.</p> <p>4. Gbogbo igbekele mi,<br/>
Ireti mi l’ eje Jesu;<br/>
Gbogbo ododo mi ni.</p> "
300,"<title>SUNM' odo wa, Emmanuel - Yoruba Baptist Hymns</title>","<p>1. SUNM’ odo wa, Emmanuel,<br/>
Wa’ra Israel pada,<br/>
T’ on sofo li oko eru<br/>
Titi Jesu y’o tun pada.<br/>
E yo, e yo, Emmanuel<br/>
Y’ o wa s’ odo wa Israel.</p> <p>2. Wa, Opa alade Jesse,<br/>
K’ o gba wa l’ owo ota wa<br/>
Gba wa low orun apadi<br/>
Fun wa n’ isegun l’ ori ‘ku,</p> <p>3. Sunmo wa ‘ wo Ila Orun,<br/>
Ki bibo Re se ‘tunu wa.<br/>
Tu gbogbo isudede ka<br/>
M’ ese ati egbe kuro.</p> <p>4. Wa omo ‘lekun dafidi,<br/>
‘Lekun orun y’ o si fun O<br/>
Tun ona orun se fun wa,<br/>
Jo se one osi fun wa.</p> <p>5. Sunmo wa Oluwa ipa,<br/>
T’ o f’ ofin fun enia Re<br/>
Nigbani l’ or’ oke Sinai<br/>
‘Nu eru at’ agbara nla.</p> "
